,Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
361969,MEI,DAL,"Meridian, MS","Dallas, TX",474,32.3325996398926,-88.7518997192383,32.8470993041992,-96.8517990112305
2739805,STJ,SHV,"St. Joseph, MO","Shreveport, LA",509,39.771900177002,-94.909698486328,32.4466018676758,-93.8255996704102
1609326,MYR,FLO,"Myrtle Beach, SC","Florence, SC",58,33.6796989441,-78.9282989502,34.1853981018066,-79.7238998413086
420954,EDF,EUG,"Anchorage, AK","Eugene, OR",1606,61.2509994506836,-149.807006835938,44.1245994567871,-123.21199798584
730353,CMH,ORD,"Columbus, OH","Chicago, IL",296,39.9980010986328,-82.8918991088867,41.97859955,-87.90480042
1102061,MSN,IAH,"Madison, WI","Houston, TX",966,43.1399002075195,-89.3375015258789,29.9843997955322,-95.3414001464844
2450019,YIP,BHM,"Detroit, MI","Birmingham, AL",624,42.23789978,-83.53040314,33.56290054,-86.75350189
1542480,ROC,ICT,"Rochester, NY","Wichita, KS",1106,43.1189002990723,-77.6724014282227,37.6498985290527,-97.4330978393555
1664926,MTJ,MTJ,"Montrose, CO","Montrose, CO",0,38.5097999573,-107.893997192,38.5097999573,-107.893997192
1467236,GRI,MBS,"Grand Island, NE","Saginaw, MI",750,40.9674987792969,-98.3096008300781,43.532901763916,-84.0795974731445
1651386,TCM,HNL,"Tacoma, WA","Honolulu, HI",2659,47.1376991272,-122.475997925,21.3187007904053,-157.921997070312
2542300,TYS,DSM,"Knoxville, TN","Des Moines, IA",654,35.81100082,-83.9940033,41.5340003967285,-93.6631011962891
3580434,DFW,PBI,"Dallas, TX","West Palm Beach, FL",1103,32.896800994873,-97.0380020141602,26.6832008361816,-80.0955963134766
167161,MKC,TUL,"Kansas City, MO","Tulsa, OK",214,39.1231994628906,-94.5927963256836,36.1983985900879,-95.8880996704102
1501967,TUS,BFI,"Tucson, AZ","Seattle, WA",1220,32.1161003112793,-110.94100189209,47.5299987792969,-122.302001953125
3142984,OKC,MSY,"Oklahoma City, OK","New Orleans, LA",567,35.3931007385254,-97.600700378418,29.9934005737305,-90.2580032348633
1829512,MCE,RIC,"Merced, CA","Richmond, VA",2355,37.28469849,-120.5139999,37.505199432373,-77.3197021484375
421170,IDA,EUG,"Idaho Falls, ID","Eugene, OR",559,43.5145988464355,-112.070999145508,44.1245994567871,-123.21199798584
3223148,OKC,XNA,"Oklahoma City, OK","Fayetteville, AR",195,35.3931007385254,-97.600700378418,36.281898,-94.306801
1977531,CAE,CLT,"Columbia, SC","Charlotte, NC",89,33.9388008117676,-81.119499206543,35.2140007019043,-80.9430999755859
3297980,OAK,JAX,"Oakland, CA","Jacksonville, FL",2358,37.7212982177734,-122.221000671387,30.4941005706787,-81.6878967285156
